Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
177,The maximum number of binary trees that can be formed with three unlabelled nodes is:,1,5,4,3,C,"Certainly, here's the revised presentation of the unlabeled binary trees:&nbsp;Note that nodes are unlabeled. If the nodes are labeled, we get more trees. We can find the number of binary tree by Catalan numbers. Here n = 3 Number of binary tree = (2nCn)/ n+1 = (2*3C3)/ 3+1 = 5. So, option (B) is correct.",Tree,Hard,High,0.25
178,"The number of leaf nodes in a rooted tree of n nodes, with each node having 0 or 3 children is:",n/2,(n-1)/3,(n-1)/2,(2n+1)/3,E,"In a tree with nodes, some having 0 or 3 children:Let's call:n - as the total number of nodes.L -the number of leaf nodes.I - as the number of internal nodes.Now, here's the deal: each internal node with 3 children gives us 2 internal nodes and 1 leaf node. The root node doesn't play a role here, so we can say (L = 2I + 1).And we know that the total number of nodes n is just the sum of leaf nodes L and internal nodes I: n = L + INow, if we substitute the L value from the first equation into the second one, we get n = (2I + 1) + I, which simplifies to n = 3I + 1.Solving this for I, we find I = (n-1)/3Now, plug this back into the L equation, and we get L = 2((n-1)/3) + 1, which simplifies to L = (2n+1)/3.So, in simple terms, the number of leaf nodes L in a tree with nodes having 0 or 3 children is (2n+1)/3.",Tree,Hard,High,0.25
179,A weight-balanced tree is a binary tree in which for each node. The number of nodes in the left sub tree is at least half and at most twice the number of nodes in the right sub tree. The maximum possible height (number of nodes on the path from the root to the farthest leaf) of such a tree on n nodes is best described by which of the following? a) \\log_2 n b) \\log_{4/3} n c) \\log_3 n d) \\log_{3/2} n,A,B,C,D,E,"A weight-balanced tree is a binary tree where the number of nodes in the left subtree is at least half and at most twice the number of nodes in the right subtree for each node. To determine the maximum possible height of such a tree on n nodes, let's analyze the options:a) &nbsp;This represents the height of a perfectly balanced binary tree. In a weight-balanced tree, the left subtree can have at most twice the number of nodes in the right subtree, so it won't necessarily be perfectly balanced. Therefore, option a is not the best description.b)This option seems to be a non-standard logarithmic base. It's not a common logarithmic base used in tree height analysis. It is not a typical representation for the height of a binary tree.c) This represents the height of a perfectly balanced ternary tree. Similar to option a, this doesn't consider the constraints of a weight-balanced tree.d) &nbsp;This option is interesting because it suggests a growth factor in the number of nodes in the left subtree compared to the right subtree. It is a non-standard base but seems to reflect the constraints of a weight-balanced tree.In a weight-balanced tree, the number of nodes in the left subtree is at least half and at most twice the number of nodes in the right subtree. Therefore, option (d) is the best description of the maximum possible height of a weight-balanced tree on n nodes.",Tree,Hard,High,0.25
180,"A complete n-ary tree is a tree in which each node has n children or no children. Let I be the number of internal nodes and L be the number of leaves in a complete n-ary tree. If L = 41, and I = 10, what is the value of n?",6,3,4,5,E,"For an n-ary tree where each node has n children or no children, following relation holds    L = (n-1)*I + 1
Where L is the number of leaf nodes and I is the number of internal nodes.Let us find out the value of n for the given data.  L = 41 , I = 10
  41 = 10*(n-1) + 1
  (n-1) = 4
  n = 5",Tree,Medium,Medium,0.25
181,The height of a binary tree is the maximum number of edges in any root to leaf path. The maximum number of nodes in a binary tree of height h is:,2^h -1,2^(h-1) – 1,2^(h+1) -1,2*(h+1),D,"Maximum number of nodes will be there for a complete tree.
Number of nodes in a complete tree of height h = 1 + 2 + 2^2 + 2*3 + …. 2^h = 2^(h+1) – 1",Tree,Hard,High,0.25
182,"A scheme for storing binary trees in an array X is as follows. Indexing of X starts at 1 instead of 0. the root is stored at X[1]. For a node stored at X[i], the left child, if any, is stored in X[2i] and the right child, if any, in X[2i+1]. To be able to store any binary tree on n vertices the minimum size of X should be. (GATE CS 2006)",log2n,n,2n + 1,2^n — 1,E,"For a right skewed binary tree, number of nodes will be 2^n -  1.  For example, in below binary tree, node 'A' will be stored at index 1, 'B' at index 3, 'C' at index 7 and 'D' at index 15.
A
 \
   \
    B
      \
        \
         C
           \
             \
              D",Tree,Hard,High,0.25
183,"Postorder traversal of a given binary search tree, T produces the following sequence of keys 
        10, 9, 23, 22, 27, 25, 15, 50, 95, 60, 40, 29
Which one of the following sequences of keys can be the result of an in-order traversal of the tree T? (GATE CS 2005)","9, 10, 15, 22, 23, 25, 27, 29, 40, 50, 60, 95","9, 10, 15, 22, 40, 50, 60, 95, 23, 25, 27, 29","29, 15, 9, 10, 25, 22, 23, 27, 40, 60, 50, 95","95, 50, 60, 40, 27, 23, 22, 25, 10, 9, 15, 29",B,"Inorder traversal of a BST always gives elements in increasing order.  Among all four options, a) is the only increasing order sequence.",Tree,Medium,High,0.25
184,"Consider the following nested representation of binary trees: (X Y Z) indicates Y and Z are the left and right sub stress, respectively, of node X. Note that Y and Z may be NULL, or further nested. Which of the following represents a valid binary tree?",(1 2 (4 5 6 7)),(1 (2 3 4) 5 6) 7),(1 (2 3 4)(5 6 7)),(1 (2 3 NULL) (4 5)),D,"C is fine.
(1 (2 3 4)(5 6 7))  represents following binary tree
      1
   /    \\
  2      5 
 / \\    / \\
3   4  6   7
A) (1 2 (4 5 6 7)) is not fine as there are 4 elements in one bracket.B)  (1 (2 3 4) 5 6) 7) is not fine as there are 2 opening brackets and 3 closing.D)  (1 (2 3 NULL) (4 5)) is not fine one bracket has only two entries (4 5)",Tree,Hard,High,0.2
185,"Consider a node X in a Binary Tree.  Given that X has two children, let Y be Inorder successor of X. Which of the following is true about Y?",Y has no right child,Y has no left child,Y has both children,None of the above,C,"Since X has both children, Y must be leftmost node in right child of X.",Tree,Hard,High,0.25
186,"In a binary tree with n nodes, every node has an odd number of descendants. Every node is considered to be its own descendant. What is the number of nodes in the tree that have exactly one child?",0,1,(n-1)/2,n-1,B,"It is mentioned that each node has odd number of descendants including node itself, so all nodes must have even number of descendants 0, 2, 4 so on.   Which means each node should have either 0 or 2 children. So there will be no node with 1 child.  Hence 0 is answer.Following are few examples. 
       a
    /    \\
   b      c


      a
    /   \\
   b     c  
  /  \\
 d    e
  Such a binary tree is full binary tree (a binary tree where every node has 0 or 2 children).",Tree,Medium,High,0.25
187,The height of a binary tree is the maximum number of edges in any root to leaf path. The maximum number of nodes in a binary tree of height h is:,2h−1,2h−1 -1,2h+1-1,2h+1,D,See Question 1 http://www.geeksforgeeks.org/data-structures-and-algorithms-set-10/,Tree,Easy,Medium,0.3
188,The height of a tree is the length of the longest root-to-leaf path in it. The maximum and minimum number of nodes in a binary tree of height 5 are,"63 and 6, respectively","64 and 5, respectively","32 and 6, respectively","31 and 5, respectively",A,"Number of nodes is maximum for a perfect binary tree.A perfect binary tree of height h has 2h+1 - 1 nodesNumber of nodes is minimum for a skewed binary tree.A perfect binary tree of height h has h+1 nodes.So according to the question and after analyzing the options, Option (A) is correct.",Tree,Medium,High,0.25
189,A binary tree T has 20 leaves. The number of nodes in T having two children is,18,19,17,Any number between 10 and 20,C,"Sum of all degrees = 2 * |E|. Here considering tree as a k-ary tree :

Sum of degrees of leaves + Sum of degrees for Internal Node except root + Root's degree = 2 * (No. of nodes - 1).

Putting values of above terms,

L + (I-1)*(k+1) + k = 2 * (L + I - 1)

L + k*I - k + I -1 + k = 2*L + 2I - 2

L + K*I + I - 1 = 2*L + 2*I - 2

K*I + 1 - I = L

(K-1)*I + 1 = L

Given k = 2, L=20

==&gt; (2-1)*I + 1 = 20
==&gt; I = 19
==&gt; T has 19 internal nodes which are having two children.",Tree,Hard,High,0.2
190,"An array of integers of size n can be converted into a heap by adjusting the heaps rooted at each internal node of the complete binary tree starting at the node ⌊(n - 1) /2⌋, and doing this adjustment up to the root node (root node is at index 0) in the order ⌊(n - 1)/2⌋, ⌊(n - 3)/ 2⌋, ....., 0. The time required to construct a heap in this manner is",O(log n),O(n),O (n log log n),O(n log n),C,"The above statement is actually&nbsp;algorithm for building a Heap of an input array A.BUILD-HEAP(A) 
    heapsize := size(A); 
    for i := floor(heapsize/2) downto 1 
        do HEAPIFY(A, i); 
    end for 
END
Upper bound of time complexity is O(n) for above algorithm.See- https://www.geeksforgeeks.org/time-complexity-of-building-a-heap/&nbsp;",Tree,Medium,Medium,0.25
191,"In a binary tree, for every node the difference between the number of nodes in the left and right subtrees is at most 2. If the height of the tree is h &gt; 0, then the minimum number of nodes in the tree is:",2h - 1,2h - 1 + 1,2h - 1,2h,C,"Let there be n(h) nodes at height h.

In a perfect tree where every node has exactly 
two children, except leaves, following recurrence holds.

n(h) = 2*n(h-1) + 1

In given case, the numbers of nodes are two less, therefore
n(h) = 2*n(h-1) + 1 - 2
     = 2*n(h-1) - 1

Now if try all options, only option (b) satisfies above recurrence.

Let us see option (B)
n(h) = 2h - 1 + 1

So if we substitute 
n(h-1) = 2h-2 + 1, we should get n(h) = 2h-1 + 1

n(h) =  2*n(h-1) - 1
     =  2*(2h-2 + 1) -1
     =  2h-1 + 1.",Tree,Hard,High,0.2
192,"Breadth First Search (BFS) is started on a binary tree beginning from the root vertex. There is a vertex t at a distance four from the root. If t is the n-th vertex in this BFS traversal, then the maximum possible value of n is ________

[This Question was originally a Fill-in-the-blanks Question]",15,16,31,32,D,"It would be node number 31 for given distance 4.For example if we consider at distance 2, below highlighted node G can be the farthest node at position 7.  
            A
         /    \\
        B       C
       / \\     / \\
      D   E   F   G

Alternative Solution :t is the n-th vertex in this BFS traversal at distance four from the root. So height of tree is 4.Max number of nodes = 2^{h+1} − 1 = 2^{5} − 1 = 31At distance four, last node is 31. option (C).",Tree,Medium,High,0.25
